Rank,Publication,h5-index,h5-median
1,Molecular Plant-Microbe Interactions,47,66
2,Molecular Plant Pathology,43,56
3,Annual Review of Phytopathology,42,63
4,Plant Disease,35,47
5,Phytopathology,34,49
6,Plant Pathology,34,41
7,Crop Protection,32,39
8,European Journal of Plant Pathology,29,38
9,Forest Pathology,20,23
10,Phytopathologia Mediterranea,19,21
11,Journal of Phytopathology,17,24
12,Physiological and Molecular Plant Pathology,17,23
13,Australasian Plant Pathology,16,21
14,International Phytoplasmologist Working Group Meeting,15,25
15,Canadian Journal of Plant Pathology,15,21
16,EPPO Bulletin,15,19
17,Journal of General Plant Pathology,15,19
18,Nematology,15,19
19,Journal of Plant Pathology,14,22
20,Phytoparasitica,14,20
